section,row,column,value
joint_position_rad,1,1,0
joint_position_rad,2,1,-1.5708
joint_position_rad,3,1,1.5708
joint_position_rad,4,1,-1.5708
joint_position_rad,5,1,-1.5708
joint_position_rad,6,1,0
fk_moveit,1,1,-2.1859639245e-10
fk_moveit,1,2,-0.999999999993
fk_moveit,1,3,3.67299999908e-06
fk_moveit,1,4,0.486898741175
fk_moveit,2,1,-0.999999999993
fk_moveit,2,2,2.05103956764e-10
fk_moveit,2,3,-3.67341020674e-06
fk_moveit,2,4,0.109149697746
fk_moveit,3,1,3.67341020596e-06
fk_moveit,3,2,-3.67299999986e-06
fk_moveit,3,3,-0.999999999987
fk_moveit,3,4,0.431859347645
fk_moveit,4,1,0
fk_moveit,4,2,0
fk_moveit,4,3,0
fk_moveit,4,4,1
fk_dh,1,1,-1.34924969636e-11
fk_dh,1,2,-0.999999999993
fk_dh,1,3,3.67320510338e-06
fk_dh,1,4,0.486898741192
fk_dh,2,1,-0.999999999993
fk_dh,2,2,6.12323399565e-17
fk_dh,2,3,-3.67320510329e-06
fk_dh,2,4,0.109149697695
fk_dh,3,1,3.67320510326e-06
fk_dh,3,2,-3.67320510341e-06
fk_dh,3,3,-0.999999999987
fk_dh,3,4,0.431859347667
fk_dh,4,1,0
fk_dh,4,2,0
fk_dh,4,3,0
fk_dh,4,4,1
jacobian_moveit,1,1,-0.109149697746
jacobian_moveit,1,2,0.342700347667
jacobian_moveit,1,3,-0.08229965233
jacobian_moveit,1,4,-0.08229965233
jacobian_moveit,1,5,1.79904547455e-11
jacobian_moveit,1,6,0
jacobian_moveit,2,1,0.486898741175
jacobian_moveit,2,2,-9.98646729374e-11
jacobian_moveit,2,3,-9.98649410795e-11
jacobian_moveit,2,4,-1.9413097226e-11
jacobian_moveit,2,5,0.0822999999994
jacobian_moveit,2,6,-0
jacobian_moveit,3,1,0
jacobian_moveit,3,2,-0.486898741175
jacobian_moveit,3,3,-0.486900302287
jacobian_moveit,3,4,-0.0946503022873
jacobian_moveit,3,5,-3.02321659962e-07
jacobian_moveit,3,6,0
jacobian_moveit,4,1,0
jacobian_moveit,4,2,1.22464679915e-16
jacobian_moveit,4,3,1.22464679915e-16
jacobian_moveit,4,4,1.22464679915e-16
jacobian_moveit,4,5,0.999999999993
jacobian_moveit,4,6,3.67299999908e-06
jacobian_moveit,5,1,0
jacobian_moveit,5,2,1
jacobian_moveit,5,3,1
jacobian_moveit,5,4,1
jacobian_moveit,5,5,-2.05102858825e-10
jacobian_moveit,5,6,-3.67341020696e-06
jacobian_moveit,6,1,1
jacobian_moveit,6,2,-2.05103489748e-10
jacobian_moveit,6,3,-2.05103489748e-10
jacobian_moveit,6,4,-2.05103489748e-10
jacobian_moveit,6,5,3.67320510335e-06
jacobian_moveit,6,6,-0.999999999987
jacobian_dh,1,1,-0.109149697695
jacobian_dh,1,2,0.342700347667
jacobian_dh,1,3,-0.08229965233
jacobian_dh,1,4,-0.08229965233
jacobian_dh,1,5,1.11043250008e-12
jacobian_dh,1,6,-1.00532222927e-19
jacobian_dh,2,1,0.486898741192
jacobian_dh,2,2,-1.21547391382e-17
jacobian_dh,2,3,3.98928454157e-17
jacobian_dh,2,4,1.58744600674e-17
jacobian_dh,2,5,0.0822999999994
jacobian_dh,2,6,2.1816604106e-17
jacobian_dh,3,1,0
jacobian_dh,3,2,-0.486898741192
jacobian_dh,3,3,-0.486900302304
jacobian_dh,3,4,-0.0946503023041
jacobian_dh,3,5,-3.02304779993e-07
jacobian_dh,3,6,-8.05061205206e-23
jacobian_dh,4,1,0
jacobian_dh,4,2,1.22464679915e-16
jacobian_dh,4,3,1.22464679915e-16
jacobian_dh,4,4,1.22464679915e-16
jacobian_dh,4,5,0.999999999993
jacobian_dh,4,6,3.67320510338e-06
jacobian_dh,5,1,0
jacobian_dh,5,2,1
jacobian_dh,5,3,1
jacobian_dh,5,4,1
jacobian_dh,5,5,-6.12325648755e-17
jacobian_dh,5,6,-3.67320510329e-06
jacobian_dh,6,1,1
jacobian_dh,6,2,6.12323399574e-17
jacobian_dh,6,3,6.12323399574e-17
jacobian_dh,6,4,6.12323399574e-17
jacobian_dh,6,5,3.67320510335e-06
jacobian_dh,6,6,-0.999999999987
jacobian_error,1,1,5.0875997859e-11
jacobian_error,1,2,1.66533453694e-16
jacobian_error,1,3,1.66533453694e-16
jacobian_error,1,4,1.11022302463e-16
jacobian_error,1,5,-1.68800222455e-11
jacobian_error,1,6,-1.00532222927e-19
jacobian_error,2,1,1.6880052911e-11
jacobian_error,2,2,9.98646607827e-11
jacobian_error,2,3,9.98649809724e-11
jacobian_error,2,4,1.94131131004e-11
