tramo,planeador,intento,valida,motivo,tiempo_planificacion_s,longitud_articular_rad,puntos,duracion_s,suavidad,movimiento_por_articulacion_rad
4A_home_pre_pick,RRTConnectkConfigDefault,1,si,"valida: limites, meta y colisiones comprobados",0.03656081,1.30009329,30,2.81587101,5.56271343,"0.585491;0.572121;0.792913;0.220631;0.000129;0.585433"
4A_home_pre_pick,RRTConnectkConfigDefault,2,si,"valida: limites, meta y colisiones comprobados",0.05890750,1.30010518,30,2.81586503,5.56259834,"0.585493;0.572270;0.792910;0.220646;0.000020;0.585311"
4A_home_pre_pick,RRTConnectkConfigDefault,3,si,"valida: limites, meta y colisiones comprobados",0.07036119,1.30009564,30,2.81580370,5.56297821,"0.585499;0.572176;0.792875;0.220578;0.000141;0.585448"
4A_home_pre_pick,RRTConnectkConfigDefault,4,si,"valida: limites, meta y colisiones comprobados",0.06966813,1.30005395,30,2.81585395,5.56241386,"0.585396;0.572187;0.792903;0.220569;0.000068;0.585413"
4A_home_pre_pick,RRTConnectkConfigDefault,5,si,"valida: limites, meta y colisiones comprobados",0.07002213,1.30007234,30,2.81588378,5.56247064,"0.585473;0.572177;0.792920;0.220645;0.000072;0.585335"
4A_home_pre_pick,RRTConnectkConfigDefault,6,si,"valida: limites, meta y colisiones comprobados",0.04380683,1.30008561,30,2.81582501,5.56258828,"0.585480;0.572169;0.792887;0.220559;0.000028;0.585442"
4A_home_pre_pick,RRTConnectkConfigDefault,7,si,"valida: limites, meta y colisiones comprobados",0.05709468,1.30009420,30,2.81561646,5.56373820,"0.585510;0.572258;0.792770;0.220630;0.000083;0.585477"
4A_home_pre_pick,RRTConnectkConfigDefault,8,si,"valida: limites, meta y colisiones comprobados",0.05950992,1.30002782,30,2.81574115,5.56279858,"0.585515;0.572142;0.792840;0.220477;0.000131;0.585399"
4A_home_pre_pick,RRTConnectkConfigDefault,9,si,"valida: limites, meta y colisiones comprobados",0.06572336,1.30003834,30,2.81580060,5.56237673,"0.585493;0.572163;0.792873;0.220511;0.000006;0.585367"
4A_home_pre_pick,RRTConnectkConfigDefault,10,si,"valida: limites, meta y colisiones comprobados",0.06085664,1.30006527,30,2.81590674,5.56245390,"0.585540;0.572129;0.792933;0.220605;0.000155;0.585296"
4A_home_pre_pick,RRTstarkConfigDefault,1,si,"valida: limites, meta y colisiones comprobados",8.01666011,1.30004115,30,2.81572848,5.56275986,"0.585552;0.572126;0.792833;0.220485;0.000050;0.585415"
4A_home_pre_pick,RRTstarkConfigDefault,2,si,"valida: limites, meta y colisiones comprobados",8.00816699,1.29995255,30,2.81561567,5.56313466,"0.585503;0.572124;0.792769;0.220604;0.000115;0.585310"
4A_home_pre_pick,RRTstarkConfigDefault,3,si,"valida: limites, meta y colisiones comprobados",8.01732713,1.30002600,30,2.81583761,5.56236152,"0.585418;0.572134;0.792894;0.220472;0.000130;0.585428"
4A_home_pre_pick,RRTstarkConfigDefault,4,si,"valida: limites, meta y colisiones comprobados",8.02170244,1.29996329,30,2.81570248,5.56245072,"0.585409;0.572150;0.792818;0.220506;0.000000;0.585373"
4A_home_pre_pick,RRTstarkConfigDefault,5,si,"valida: limites, meta y colisiones comprobados",8.00981676,1.29995799,30,2.81559227,5.56305031,"0.585412;0.572236;0.792756;0.220474;0.000090;0.585370"
4A_home_pre_pick,RRTstarkConfigDefault,6,si,"valida: limites, meta y colisiones comprobados",8.10443603,1.30003855,30,2.81568043,5.56294187,"0.585424;0.572246;0.792806;0.220539;0.000007;0.585436"
4A_home_pre_pick,RRTstarkConfigDefault,7,si,"valida: limites, meta y colisiones comprobados",8.03991360,1.30001651,30,2.81575253,5.56251154,"0.585408;0.572161;0.792846;0.220474;0.000040;0.585456"
4A_home_pre_pick,RRTstarkConfigDefault,8,si,"valida: limites, meta y colisiones comprobados",8.01593142,1.30004365,30,2.81569539,5.56285604,"0.585580;0.572240;0.792814;0.220499;0.000010;0.585301"
4A_home_pre_pick,RRTstarkConfigDefault,9,si,"valida: limites, meta y colisiones comprobados",8.01085450,1.29995874,30,2.81574014,5.56262217,"0.585393;0.572183;0.792839;0.220503;0.000178;0.585319"
4A_home_pre_pick,RRTstarkConfigDefault,10,si,"valida: limites, meta y colisiones comprobados",8.00911792,1.29998589,30,2.81566291,5.56294124,"0.585468;0.572253;0.792796;0.220487;0.000117;0.585301"
