tramo,planeador,intento,valida,motivo,tiempo_planificacion_s,longitud_articular_rad,puntos,duracion_s,suavidad,movimiento_por_articulacion_rad
4C_pick_pre_place,RRTConnectkConfigDefault,1,si,"valida: limites, meta y colisiones comprobados",0.06554242,3.10948757,68,6.61131656,11.24433235,"0.864752;1.061400;0.630459;0.841208;2.177008;0.864859"
4C_pick_pre_place,RRTConnectkConfigDefault,2,si,"valida: limites, meta y colisiones comprobados",0.07635399,5.05480201,85,8.38675475,13.37412543,"0.864803;3.239113;0.630274;1.471614;1.944207;2.567575"
4C_pick_pre_place,RRTConnectkConfigDefault,3,si,"valida: limites, meta y colisiones comprobados",0.06673334,3.68667499,68,6.62239249,14.95007962,"0.864780;1.737777;1.548415;0.776181;2.158328;0.864894"
4C_pick_pre_place,RRTConnectkConfigDefault,4,si,"valida: limites, meta y colisiones comprobados",0.09136717,5.02034216,91,8.91597989,12.16665625,"0.864796;0.864362;1.185387;0.776310;3.589151;2.660353"
4C_pick_pre_place,RRTConnectkConfigDefault,5,si,"valida: limites, meta y colisiones comprobados",0.06156258,4.60033187,89,8.74318031,10.73230794,"0.864775;0.614831;2.353343;0.776329;1.693951;3.133124"
4C_pick_pre_place,RRTConnectkConfigDefault,6,si,"valida: limites, meta y colisiones comprobados",0.07942183,6.05635217,108,10.68112370,10.68155072,"1.397390;1.494997;1.327060;0.982778;2.431006;4.678255"
4C_pick_pre_place,RRTConnectkConfigDefault,7,si,"valida: limites, meta y colisiones comprobados",0.08800531,7.46571093,110,10.86089622,13.02457642,"0.864779;1.866858;3.072129;1.246594;4.780149;3.898603"
4C_pick_pre_place,RRTConnectkConfigDefault,8,si,"valida: limites, meta y colisiones comprobados",0.06265108,5.29530599,84,8.23929745,15.02756251,"1.265643;3.124947;0.630276;2.150844;2.083043;2.203741"
4C_pick_pre_place,RRTConnectkConfigDefault,9,si,"valida: limites, meta y colisiones comprobados",0.04858136,4.35973559,78,7.60798873,12.76268891,"1.296250;0.145865;2.393579;1.104872;1.529334;2.474943"
4C_pick_pre_place,RRTConnectkConfigDefault,10,si,"valida: limites, meta y colisiones comprobados",0.06067642,2.96077243,69,6.71397886,20.38468787,"0.864818;1.650120;0.782429;0.776207;1.276733;1.122021"
4C_pick_pre_place,RRTstarkConfigDefault,1,no,"OMPL no encontro solucion",8.01111988,0.00000000,0,0.00000000,0.00000000,""
4C_pick_pre_place,RRTstarkConfigDefault,2,si,"valida: limites, meta y colisiones comprobados",8.04691286,2.78101315,60,5.84647584,14.11176469,"0.864775;0.957976;1.314347;0.776183;0.550036;1.786014"
4C_pick_pre_place,RRTstarkConfigDefault,3,no,"OMPL no encontro solucion",8.01392332,0.00000000,0,0.00000000,0.00000000,""
4C_pick_pre_place,RRTstarkConfigDefault,4,no,"OMPL no encontro solucion",8.01697219,0.00000000,0,0.00000000,0.00000000,""
4C_pick_pre_place,RRTstarkConfigDefault,5,no,"OMPL no encontro solucion",8.00963947,0.00000000,0,0.00000000,0.00000000,""
4C_pick_pre_place,RRTstarkConfigDefault,6,no,"OMPL no encontro solucion",8.01136226,0.00000000,0,0.00000000,0.00000000,""
4C_pick_pre_place,RRTstarkConfigDefault,7,no,"OMPL no encontro solucion",8.02359220,0.00000000,0,0.00000000,0.00000000,""
4C_pick_pre_place,RRTstarkConfigDefault,8,no,"OMPL no encontro solucion",8.01808057,0.00000000,0,0.00000000,0.00000000,""
4C_pick_pre_place,RRTstarkConfigDefault,9,no,"OMPL no encontro solucion",8.00978606,0.00000000,0,0.00000000,0.00000000,""
4C_pick_pre_place,RRTstarkConfigDefault,10,no,"OMPL no encontro solucion",8.00882507,0.00000000,0,0.00000000,0.00000000,""
