section,row,column,value
joint_position_rad,1,1,-0.585472147925
joint_position_rad,2,1,-0.852696178587
joint_position_rad,3,1,1.40834050179
joint_position_rad,4,1,-2.1264408358
joint_position_rad,5,1,-1.57079614397
joint_position_rad,6,1,-0.585472148129
fk_moveit,1,1,-7.27806703736e-13
fk_moveit,1,2,-1
fk_moveit,1,3,2.5559860198e-07
fk_moveit,1,4,0.649999941733
fk_moveit,2,1,-1
fk_moveit,2,2,7.40574268576e-13
fk_moveit,2,3,4.96405126133e-08
fk_moveit,2,4,-0.299999990814
fk_moveit,3,1,-4.964051263e-08
fk_moveit,3,2,-2.55598601978e-07
fk_moveit,3,3,-1
fk_moveit,3,4,0.120000020246
fk_moveit,4,1,0
fk_moveit,4,2,0
fk_moveit,4,3,0
fk_moveit,4,4,1
fk_dh,1,1,2.04376182644e-10
fk_dh,1,2,-1
fk_dh,1,3,2.5588288456e-07
fk_dh,1,4,0.649999941754
fk_dh,2,1,-1
fk_dh,2,2,-2.04363415079e-10
fk_dh,2,3,4.96981175511e-08
fk_dh,2,4,-0.299999990813
fk_dh,3,1,-4.96981175164e-08
fk_dh,3,2,-2.55882884618e-07
fk_dh,3,3,-1
fk_dh,3,4,0.120000020268
fk_dh,4,1,0
fk_dh,4,2,0
fk_dh,4,3,0
fk_dh,4,4,1
jacobian_moveit,1,1,0.299999990814
jacobian_moveit,1,2,0.0257044875283
jacobian_moveit,1,3,-0.241040983597
jacobian_moveit,1,4,-0.0685930251359
jacobian_moveit,1,5,0.0454784003091
jacobian_moveit,1,6,0
jacobian_moveit,2,1,0.649999941733
jacobian_moveit,2,2,-0.017042530683
jacobian_moveit,2,3,0.159814441335
jacobian_moveit,2,4,0.0454783905608
jacobian_moveit,2,5,0.0685930397732
jacobian_moveit,2,6,-0
jacobian_moveit,3,1,-0
jacobian_moveit,3,2,-0.707521160785
jacobian_moveit,3,3,-0.427890216355
jacobian_moveit,3,4,-0.0946500152747
jacobian_moveit,3,5,1.50292091638e-08
jacobian_moveit,3,6,0
jacobian_moveit,4,1,0
jacobian_moveit,4,2,0.552592956198
jacobian_moveit,4,3,0.552592956198
jacobian_moveit,4,4,0.552592956198
jacobian_moveit,4,5,0.833451273064
jacobian_moveit,4,6,2.5559860198e-07
jacobian_moveit,5,1,0
jacobian_moveit,5,2,0.833451273177
jacobian_moveit,5,3,0.833451273177
jacobian_moveit,5,4,0.833451273177
jacobian_moveit,5,5,-0.552592956369
jacobian_moveit,5,6,4.96405123913e-08
jacobian_moveit,6,1,1
jacobian_moveit,6,2,-2.05103489748e-10
jacobian_moveit,6,3,-2.05103489748e-10
jacobian_moveit,6,4,-2.05103489748e-10
jacobian_moveit,6,5,1.85803086195e-07
jacobian_moveit,6,6,-1
jacobian_dh,1,1,0.299999990813
jacobian_dh,1,2,0.0257044876084
jacobian_dh,1,3,-0.241040983548
jacobian_dh,1,4,-0.0685930251252
jacobian_dh,1,5,0.0454784002951
jacobian_dh,1,6,-2.6471653993e-17
jacobian_dh,2,1,0.649999941754
jacobian_dh,2,2,-0.017042530562
jacobian_dh,2,3,0.159814441408
jacobian_dh,2,4,0.045478390577
jacobian_dh,2,5,0.0685930397825
jacobian_dh,2,6,-1.54489445895e-17
jacobian_dh,3,1,-0
jacobian_dh,3,2,-0.707521160802
jacobian_dh,3,3,-0.427890216372
jacobian_dh,3,4,-0.0946500152916
jacobian_dh,3,5,1.50460891871e-08
jacobian_dh,3,6,-7.54142643744e-24
jacobian_dh,4,1,0
jacobian_dh,4,2,0.552592956198
jacobian_dh,4,3,0.552592956198
jacobian_dh,4,4,0.552592956198
jacobian_dh,4,5,0.833451273177
jacobian_dh,4,6,2.5588288456e-07
jacobian_dh,5,1,0
jacobian_dh,5,2,0.833451273177
jacobian_dh,5,3,0.833451273177
jacobian_dh,5,4,0.833451273177
jacobian_dh,5,5,-0.552592956198
jacobian_dh,5,6,4.96981175511e-08
jacobian_dh,6,1,1
jacobian_dh,6,2,6.12323399574e-17
jacobian_dh,6,3,6.12323399574e-17
jacobian_dh,6,4,6.12323399574e-17
jacobian_dh,6,5,1.85803086195e-07
jacobian_dh,6,6,-1
jacobian_error,1,1,-1.57990287519e-12
jacobian_error,1,2,8.01895667923e-11
jacobian_error,1,3,4.84965401171e-11
jacobian_error,1,4,1.07275022199e-11
jacobian_error,1,5,-1.4068683718e-11
jacobian_error,1,6,-2.6471653993e-17
jacobian_error,2,1,2.13008499728e-11
jacobian_error,2,2,1.20946377913e-10
jacobian_error,2,3,7.31452121094e-11
jacobian_error,2,4,1.61798421883e-11
jacobian_error,2,5,9.32778854157e-12
jacobian_error,2,6,-1.54489445895e-17
jacobian_error,3,1,0
jacobian_error,3,2,-1.68802749556e-11
jacobian_error,3,3,-1.68801084222e-11
jacobian_error,3,4,-1.68801084222e-11
jacobian_error,3,5,1.68800232155e-11
jacobian_error,3,6,-7.54142643744e-24
jacobian_error,4,1,0
jacobian_error,4,2,0
jacobian_error,4,3,0
jacobian_error,4,4,1.11022302463e-16
jacobian_error,4,5,1.13338893826e-10
jacobian_error,4,6,2.84282579388e-10
jacobian_error,5,1,0
jacobian_error,5,2,0
jacobian_error,5,3,0
jacobian_error,5,4,1.11022302463e-16
jacobian_error,5,5,1.70943814659e-10
jacobian_error,5,6,5.76051598503e-11
jacobian_error,6,1,0
jacobian_error,6,2,2.0510355098e-10
jacobian_error,6,3,2.0510355098e-10
jacobian_error,6,4,2.0510355098e-10
jacobian_error,6,5,-4.20604797871e-20
jacobian_error,6,6,0
qdot_rad_s,1,1,0.05
qdot_rad_s,2,1,0.05
qdot_rad_s,3,1,0.05
qdot_rad_s,4,1,0.05
qdot_rad_s,5,1,0.05
qdot_rad_s,6,1,0.05
xdot_moveit,1,1,0.00307744349595
xdot_moveit,2,1,0.0453421641359
xdot_moveit,3,1,-0.0615030688693
xdot_moveit,4,1,0.124561519863
xdot_moveit,5,1,0.0973880456402
xdot_moveit,6,1,9.25939050433e-09
xdot_dh,1,1,0.00307744350213
xdot_dh,2,1,0.045342164148
xdot_dh,3,1,-0.061503068871
xdot_dh,4,1,0.124561519883
xdot_dh,5,1,0.0973880456516
xdot_dh,6,1,9.29015601947e-09
position_error_m,1,1,3.09419086915e-11
orientation_error_rad,1,1,4.21468485109e-08
jacobian_max_error,1,1,2.84282579388e-10
jacobian_frobenius_error,1,1,5.32375000052e-10
