tramo,planeador,intento,valida,motivo,tiempo_planificacion_s,longitud_articular_rad,puntos,duracion_s,suavidad,movimiento_por_articulacion_rad
4A_home_pre_pick,RRTConnectkConfigDefault,1,si,"valida: limites, meta y colisiones comprobados",0.05471160,5.40903128,80,7.82088697,2.30292523,"2.958776;1.488734;1.022004;0.939986;0.968073;3.927048"
4A_home_pre_pick,RRTConnectkConfigDefault,2,si,"valida: limites, meta y colisiones comprobados",0.05757558,5.40893439,80,7.82061524,2.30299859,"2.958806;1.488838;1.021873;0.939950;0.968146;3.926877"
4A_home_pre_pick,RRTConnectkConfigDefault,3,si,"valida: limites, meta y colisiones comprobados",0.05496342,5.40891511,80,7.82061904,2.30299053,"2.958782;1.488765;1.021962;0.939913;0.968156;3.926879"
4A_home_pre_pick,RRTConnectkConfigDefault,4,si,"valida: limites, meta y colisiones comprobados",0.07752312,5.40900188,80,7.82074108,2.30297451,"2.958844;1.488740;1.021924;0.940008;0.968128;3.926956"
4A_home_pre_pick,RRTConnectkConfigDefault,5,si,"valida: limites, meta y colisiones comprobados",0.06282276,5.40914236,80,7.82083947,2.30300426,"2.958948;1.488829;1.022030;0.939879;0.968219;3.927018"
4A_home_pre_pick,RRTConnectkConfigDefault,6,si,"valida: limites, meta y colisiones comprobados",0.07131512,5.40906579,80,7.82086505,2.30295745,"2.958795;1.488868;1.022063;0.939921;0.968059;3.927034"
4A_home_pre_pick,RRTConnectkConfigDefault,7,si,"valida: limites, meta y colisiones comprobados",0.06585384,5.40892332,80,7.82061112,2.30301038,"2.958771;1.488764;1.022027;0.939972;0.968133;3.926874"
4A_home_pre_pick,RRTConnectkConfigDefault,8,si,"valida: limites, meta y colisiones comprobados",0.06085225,5.40898514,80,7.82069304,2.30299684,"2.958811;1.488808;1.021980;0.939870;0.968228;3.926926"
4A_home_pre_pick,RRTConnectkConfigDefault,9,si,"valida: limites, meta y colisiones comprobados",0.07887300,5.40890973,80,7.82062659,2.30297196,"2.958813;1.488716;1.021924;0.939991;0.968052;3.926884"
4A_home_pre_pick,RRTConnectkConfigDefault,10,si,"valida: limites, meta y colisiones comprobados",0.05770539,5.40897917,80,7.82067704,2.30299562,"2.958816;1.488858;1.021910;0.939950;0.968136;3.926916"
4A_home_pre_pick,RRTstarkConfigDefault,1,si,"valida: limites, meta y colisiones comprobados",0.06482316,5.40894230,80,7.82060381,2.30302335,"2.958806;1.488770;1.021925;0.940016;0.968204;3.926870"
4A_home_pre_pick,RRTstarkConfigDefault,2,si,"valida: limites, meta y colisiones comprobados",0.06411350,5.40893435,80,7.82068419,2.30295377,"2.958809;1.488735;1.022019;0.939852;0.968060;3.926920"
4A_home_pre_pick,RRTstarkConfigDefault,3,si,"valida: limites, meta y colisiones comprobados",0.06502092,5.40907701,80,7.82078346,2.30298229,"2.958911;1.488892;1.021940;0.939952;0.968037;3.926983"
4A_home_pre_pick,RRTstarkConfigDefault,4,si,"valida: limites, meta y colisiones comprobados",0.05580969,5.40899715,80,7.82071228,2.30299156,"2.958829;1.488775;1.022053;0.939973;0.968062;3.926938"
4A_home_pre_pick,RRTstarkConfigDefault,5,si,"valida: limites, meta y colisiones comprobados",0.04745688,5.40893503,80,7.82063778,2.30299300,"2.958782;1.488823;1.021932;0.939901;0.968174;3.926891"
4A_home_pre_pick,RRTstarkConfigDefault,6,si,"valida: limites, meta y colisiones comprobados",0.06159883,5.40901238,80,7.82070636,2.30300643,"2.958844;1.488781;1.022045;0.939931;0.968159;3.926934"
4A_home_pre_pick,RRTstarkConfigDefault,7,si,"valida: limites, meta y colisiones comprobados",0.06721766,5.40895266,80,7.82067102,2.30298943,"2.958784;1.488785;1.022051;0.939853;0.968160;3.926912"
4A_home_pre_pick,RRTstarkConfigDefault,8,si,"valida: limites, meta y colisiones comprobados",0.07685320,5.40906257,80,7.82074053,2.30302925,"2.958850;1.488843;1.021986;0.940019;0.968214;3.926956"
4A_home_pre_pick,RRTstarkConfigDefault,9,si,"valida: limites, meta y colisiones comprobados",0.05974554,5.40899378,80,7.82078956,2.30293599,"2.958811;1.488789;1.021921;0.939863;0.968128;3.926987"
4A_home_pre_pick,RRTstarkConfigDefault,10,si,"valida: limites, meta y colisiones comprobados",0.09571272,5.40893159,80,7.82067416,2.30295433,"2.958793;1.488843;1.021906;0.939857;0.968066;3.926914"
