section,row,column,value
joint_position_rad,1,1,0.279343451908
joint_position_rad,2,1,-1.00214490434
joint_position_rad,3,1,1.20747472233
joint_position_rad,4,1,-1.77612614499
joint_position_rad,5,1,-1.57079632659
joint_position_rad,6,1,0.279343451684
position_xyz_m,1,1,0.649999977789
position_xyz_m,2,1,0.299999988337
position_xyz_m,3,1,0.285000000308
quaternion_xyzw,1,1,0.707106781193
quaternion_xyzw,2,1,-0.70710678118
quaternion_xyzw,3,1,-2.70029948548e-13
quaternion_xyzw,4,1,-1.92200727638e-12
rotation_moveit,1,1,1.86128334967e-11
rotation_moveit,1,2,-1
rotation_moveit,1,3,2.33619697175e-12
rotation_moveit,2,1,-1
rotation_moveit,2,2,-1.86128334967e-11
rotation_moveit,2,3,3.09995916625e-12
rotation_moveit,3,1,-3.09995700273e-12
rotation_moveit,3,2,-2.33629834826e-12
rotation_moveit,3,3,-1
fk_moveit,1,1,1.86128334967e-11
fk_moveit,1,2,-1
fk_moveit,1,3,2.33619697175e-12
fk_moveit,1,4,0.649999977789
fk_moveit,2,1,-1
fk_moveit,2,2,-1.86128334967e-11
fk_moveit,2,3,3.09995916625e-12
fk_moveit,2,4,0.299999988337
fk_moveit,3,1,-3.09995700273e-12
fk_moveit,3,2,-2.33629834826e-12
fk_moveit,3,3,-1
fk_moveit,3,4,0.285000000308
fk_moveit,4,1,0
fk_moveit,4,2,0
fk_moveit,4,3,0
fk_moveit,4,4,1
fk_dh,1,1,2.23716711822e-10
fk_dh,1,2,-1
fk_dh,1,3,1.42937177095e-10
fk_dh,1,4,0.649999977811
fk_dh,2,1,-1
fk_dh,2,2,-2.23716711822e-10
fk_dh,2,3,2.56804995267e-10
fk_dh,2,4,0.299999988321
fk_dh,3,1,-2.56805003928e-10
fk_dh,3,2,-1.42937222767e-10
fk_dh,3,3,-1
fk_dh,3,4,0.285000000331
fk_dh,4,1,0
fk_dh,4,2,0
fk_dh,4,3,0
fk_dh,4,4,1
fk_error,1,1,2.05103878326e-10
fk_error,1,2,0
fk_error,1,3,1.40600980123e-10
fk_error,1,4,2.19482210184e-11
fk_error,2,1,0
fk_error,2,2,-2.05103878326e-10
fk_error,2,3,2.53705036101e-10
fk_error,2,4,-1.52959311883e-11
fk_error,3,1,-2.53705046925e-10
fk_error,3,2,-1.40600924418e-10
fk_error,3,3,0
fk_error,3,4,2.23870366689e-11
fk_error,4,1,0
fk_error,4,2,0
fk_error,4,3,0
fk_error,4,4,0
jacobian_moveit,1,1,-0.299999988337
jacobian_moveit,1,2,0.188249551427
jacobian_moveit,1,3,-0.155985523253
jacobian_moveit,1,4,-0.0791097780762
jacobian_moveit,1,5,-0.0226921353812
jacobian_moveit,1,6,0
jacobian_moveit,2,1,0.649999977789
jacobian_moveit,2,2,0.0539981832855
jacobian_moveit,2,3,-0.0447434527916
jacobian_moveit,2,4,-0.0226921354107
jacobian_moveit,2,5,0.0791097781051
jacobian_moveit,2,6,-0
jacobian_moveit,3,1,0
jacobian_moveit,3,2,-0.707521195173
jacobian_moveit,3,3,-0.478660314582
jacobian_moveit,3,4,-0.0946500000003
jacobian_moveit,3,5,1.92220333892e-13
jacobian_moveit,3,6,0
jacobian_moveit,4,1,0
jacobian_moveit,4,2,-0.275724609933
jacobian_moveit,4,3,-0.275724609933
jacobian_moveit,4,4,-0.275724609933
jacobian_moveit,4,5,0.961236671994
jacobian_moveit,4,6,2.33619697175e-12
jacobian_moveit,5,1,0
jacobian_moveit,5,2,0.961236671937
jacobian_moveit,5,3,0.961236671937
jacobian_moveit,5,4,0.961236671937
jacobian_moveit,5,5,0.275724609736
jacobian_moveit,5,6,3.09973712165e-12
jacobian_moveit,6,1,1
jacobian_moveit,6,2,-2.05103489748e-10
jacobian_moveit,6,3,-2.05103489748e-10
jacobian_moveit,6,4,-2.05103489748e-10
jacobian_moveit,6,5,2.08203898608e-10
jacobian_moveit,6,6,-1
jacobian_dh,1,1,-0.299999988321
jacobian_dh,1,2,0.188249551387
jacobian_dh,1,3,-0.15598552328
jacobian_dh,1,4,-0.0791097780815
jacobian_dh,1,5,-0.0226921353975
jacobian_dh,1,6,-1.29464632465e-17
jacobian_dh,2,1,0.649999977811
jacobian_dh,2,2,0.053998183425
jacobian_dh,2,3,-0.0447434526972
jacobian_dh,2,4,-0.022692135392
jacobian_dh,2,5,0.0791097781005
jacobian_dh,2,6,2.85505551678e-17
jacobian_dh,3,1,0
jacobian_dh,3,2,-0.70752119519
jacobian_dh,3,3,-0.478660314599
jacobian_dh,3,4,-0.0946500000171
jacobian_dh,3,5,1.70722568027e-11
jacobian_dh,3,6,5.4813942748e-27
jacobian_dh,4,1,0
jacobian_dh,4,2,-0.275724609933
jacobian_dh,4,3,-0.275724609933
jacobian_dh,4,4,-0.275724609933
jacobian_dh,4,5,0.961236671937
jacobian_dh,4,6,1.42937177095e-10
jacobian_dh,5,1,0
