section,row,column,value
joint_position_rad,1,1,-0.585472091995
joint_position_rad,2,1,-0.852703188951
joint_position_rad,3,1,1.4083518342
joint_position_rad,4,1,-2.12644497225
joint_position_rad,5,1,-1.57079632659
joint_position_rad,6,1,-0.585472092219
position_xyz_m,1,1,0.649997322157
position_xyz_m,2,1,-0.299998224543
position_xyz_m,3,1,0.12000052271
quaternion_xyzw,1,1,0.707106781193
quaternion_xyzw,2,1,-0.70710678118
quaternion_xyzw,3,1,-6.36024846694e-14
quaternion_xyzw,4,1,-1.51607957481e-12
rotation_moveit,1,1,1.86130555413e-11
rotation_moveit,1,2,-1
rotation_moveit,1,3,2.05411730864e-12
rotation_moveit,2,1,-1
rotation_moveit,2,2,-1.86130555413e-11
rotation_moveit,2,3,2.23395120316e-12
rotation_moveit,3,1,-2.23401230148e-12
rotation_moveit,3,2,-2.05416938955e-12
rotation_moveit,3,3,-1
fk_moveit,1,1,1.86130555413e-11
fk_moveit,1,2,-1
fk_moveit,1,3,2.05411730864e-12
fk_moveit,1,4,0.649997322157
fk_moveit,2,1,-1
fk_moveit,2,2,-1.86130555413e-11
fk_moveit,2,3,2.23395120316e-12
fk_moveit,2,4,-0.299998224543
fk_moveit,3,1,-2.23401230148e-12
fk_moveit,3,2,-2.05416938955e-12
fk_moveit,3,3,-1
fk_moveit,3,4,0.12000052271
fk_moveit,4,1,0
fk_moveit,4,2,0
fk_moveit,4,3,0
fk_moveit,4,4,1
fk_dh,1,1,2.23716989378e-10
fk_dh,1,2,-1
fk_dh,1,3,2.86336734252e-10
fk_dh,1,4,0.649997322179
fk_dh,2,1,-1
fk_dh,2,2,-2.23716989378e-10
fk_dh,2,3,5.98389333838e-11
fk_dh,2,4,-0.299998224541
fk_dh,3,1,-5.98389462843e-11
fk_dh,3,2,-2.86336827056e-10
fk_dh,3,3,-1
fk_dh,3,4,0.120000522732
fk_dh,4,1,0
fk_dh,4,2,0
fk_dh,4,3,0
fk_dh,4,4,1
fk_error,1,1,2.05103933837e-10
fk_error,1,2,-1.11022302463e-16
fk_error,1,3,2.84282616943e-10
fk_error,1,4,2.13006279282e-11
fk_error,2,1,-1.11022302463e-16
fk_error,2,2,-2.05103933837e-10
fk_error,2,3,5.76049821806e-11
fk_error,2,4,1.57984736404e-12
fk_error,3,1,-5.76049339828e-11
fk_error,3,2,-2.84282657666e-10
fk_error,3,3,0
fk_error,3,4,2.23870366689e-11
fk_error,4,1,0
fk_error,4,2,0
