section,row,column,value
joint_position_rad,1,1,0.279343453749
joint_position_rad,2,1,-0.852696041279
joint_position_rad,3,1,1.40834025112
joint_position_rad,4,1,-2.12644053684
joint_position_rad,5,1,-1.57079632659
joint_position_rad,6,1,0.279343453526
position_xyz_m,1,1,0.649999994297
position_xyz_m,2,1,0.299999994392
position_xyz_m,3,1,0.120000002061
quaternion_xyzw,1,1,0.707106781193
quaternion_xyzw,2,1,-0.70710678118
quaternion_xyzw,3,1,-2.70514246549e-13
quaternion_xyzw,4,1,-1.92488015725e-12
rotation_moveit,1,1,1.86128890078e-11
rotation_moveit,1,2,-1
rotation_moveit,1,3,2.33968007379e-12
rotation_moveit,2,1,-1
rotation_moveit,2,2,-1.86128334967e-11
rotation_moveit,2,3,3.10485695158e-12
rotation_moveit,3,1,-3.10480990637e-12
rotation_moveit,3,2,-2.33952629713e-12
rotation_moveit,3,3,-1
fk_moveit,1,1,1.86128890078e-11
fk_moveit,1,2,-1
fk_moveit,1,3,2.33968007379e-12
fk_moveit,1,4,0.649999994297
fk_moveit,2,1,-1
fk_moveit,2,2,-1.86128334967e-11
fk_moveit,2,3,3.10485695158e-12
fk_moveit,2,4,0.299999994392
fk_moveit,3,1,-3.10480990637e-12
fk_moveit,3,2,-2.33952629713e-12
fk_moveit,3,3,-1
fk_moveit,3,4,0.120000002061
fk_moveit,4,1,0
fk_moveit,4,2,0
fk_moveit,4,3,0
fk_moveit,4,4,1
fk_dh,1,1,2.23716767334e-10
fk_dh,1,2,-1
fk_dh,1,3,1.4294054907e-10
fk_dh,1,4,0.64999999431
fk_dh,2,1,-1
fk_dh,2,2,-2.23716711822e-10
fk_dh,2,3,2.56809893416e-10
fk_dh,2,4,0.299999994409
fk_dh,3,1,-2.5680985709e-10
fk_dh,3,2,-1.42940450248e-10
fk_dh,3,3,-1
fk_dh,3,4,0.120000002083
fk_dh,4,1,0
fk_dh,4,2,0
fk_dh,4,3,0
fk_dh,4,4,1
fk_error,1,1,2.05103878326e-10
fk_error,1,2,0
fk_error,1,3,1.40600868996e-10
fk_error,1,4,1.26172405857e-11
fk_error,2,1,-1.11022302463e-16
fk_error,2,2,-2.05103878326e-10
fk_error,2,3,2.53705036464e-10
fk_error,2,4,1.72343250782e-11
fk_error,3,1,-2.53705047184e-10
fk_error,3,2,-1.40600923951e-10
fk_error,3,3,0
fk_error,3,4,2.23870366689e-11
fk_error,4,1,0
fk_error,4,2,0
fk_error,4,3,0
fk_error,4,4,0
jacobian_moveit,1,1,-0.299999994392
jacobian_moveit,1,2,0.0296455022261
jacobian_moveit,1,3,-0.277997555404
jacobian_moveit,1,4,-0.0791097780344
jacobian_moveit,1,5,-0.0226921355269
jacobian_moveit,1,6,0
jacobian_moveit,2,1,0.649999994297
jacobian_moveit,2,2,0.00850362318445
jacobian_moveit,2,3,-0.0797418267365
jacobian_moveit,2,4,-0.0226921355564
jacobian_moveit,2,5,0.0791097780633
jacobian_moveit,2,6,-0
jacobian_moveit,3,1,0
jacobian_moveit,3,2,-0.707521212912
jacobian_moveit,3,3,-0.427890224537
jacobian_moveit,3,4,-0.0946500000003
jacobian_moveit,3,5,1.9253262574e-13
jacobian_moveit,3,6,0
jacobian_moveit,4,1,0
jacobian_moveit,4,2,-0.275724611703
jacobian_moveit,4,3,-0.275724611703
jacobian_moveit,4,4,-0.275724611703
jacobian_moveit,4,5,0.961236671486
jacobian_moveit,4,6,2.33968007379e-12
jacobian_moveit,5,1,0
jacobian_moveit,5,2,0.96123667143
jacobian_moveit,5,3,0.96123667143
jacobian_moveit,5,4,0.96123667143
jacobian_moveit,5,5,0.275724611506
jacobian_moveit,5,6,3.10463490698e-12
jacobian_moveit,6,1,1
jacobian_moveit,6,2,-2.05103489748e-10
jacobian_moveit,6,3,-2.05103489748e-10
jacobian_moveit,6,4,-2.05103489748e-10
jacobian_moveit,6,5,2.082083395e-10
jacobian_moveit,6,6,-1
jacobian_dh,1,1,-0.299999994409
jacobian_dh,1,2,0.0296455021861
jacobian_dh,1,3,-0.277997555429
jacobian_dh,1,4,-0.0791097780397
jacobian_dh,1,5,-0.0226921355431
jacobian_dh,1,6,-2.74860142755e-17
jacobian_dh,2,1,0.64999999431
jacobian_dh,2,2,0.00850362332394
jacobian_dh,2,3,-0.0797418266522
jacobian_dh,2,4,-0.0226921355377
jacobian_dh,2,5,0.0791097780587
jacobian_dh,2,6,-2.70027602139e-17
jacobian_dh,3,1,0
jacobian_dh,3,2,-0.707521212929
jacobian_dh,3,3,-0.427890224554
jacobian_dh,3,4,-0.0946500000171
jacobian_dh,3,5,1.70725135418e-11
jacobian_dh,3,6,-1.08634419447e-26
jacobian_dh,4,1,0
jacobian_dh,4,2,-0.275724611703
jacobian_dh,4,3,-0.275724611703
jacobian_dh,4,4,-0.275724611703
jacobian_dh,4,5,0.96123667143
jacobian_dh,4,6,1.4294054907e-10
jacobian_dh,5,1,0
jacobian_dh,5,2,0.96123667143
jacobian_dh,5,3,0.96123667143
jacobian_dh,5,4,0.96123667143
jacobian_dh,5,5,0.275724611703
jacobian_dh,5,6,2.56809893416e-10
jacobian_dh,6,1,1
jacobian_dh,6,2,6.12323399574e-17
jacobian_dh,6,3,6.12323399574e-17
jacobian_dh,6,4,6.12323399574e-17
jacobian_dh,6,5,2.08208339458e-10
jacobian_dh,6,6,-1
jacobian_error,1,1,-1.72343250782e-11
jacobian_error,1,2,-4.00118202459e-11
jacobian_error,1,3,-2.41980879778e-11
jacobian_error,1,4,-5.35266275747e-12
jacobian_error,1,5,-1.62256909297e-11
jacobian_error,1,6,-2.74860142755e-17
jacobian_error,2,1,1.26172405857e-11
jacobian_error,2,2,1.39489962983e-10
jacobian_error,2,3,8.43598663147e-11
jacobian_error,2,4,1.86605349228e-11
jacobian_error,2,5,-4.65424920826e-12
jacobian_error,2,6,-2.70027602139e-17
jacobian_error,3,1,0
jacobian_error,3,2,-1.6880052911e-11
jacobian_error,3,3,-1.68801084222e-11
jacobian_error,3,4,-1.68801639333e-11
jacobian_error,3,5,1.6879980916e-11
jacobian_error,3,6,-1.08634419447e-26
jacobian_error,4,1,0
jacobian_error,4,2,0
jacobian_error,4,3,0
jacobian_error,4,4,0
jacobian_error,4,5,-5.65520963391e-11
jacobian_error,4,6,1.40600868996e-10
jacobian_error,5,1,0
jacobian_error,5,2,0
jacobian_error,5,3,0
jacobian_error,5,4,0
