section,row,column,value
joint_position_rad,1,1,-0.585472091882
joint_position_rad,2,1,-0.852696023904
joint_position_rad,3,1,1.40834022498
joint_position_rad,4,1,-2.12644052808
joint_position_rad,5,1,-1.57079632659
joint_position_rad,6,1,-0.585472092108
position_xyz_m,1,1,0.649999999831
position_xyz_m,2,1,-0.299999999792
position_xyz_m,3,1,0.120000000122
quaternion_xyzw,1,1,0.707106781194
quaternion_xyzw,2,1,-0.707106781179
quaternion_xyzw,3,1,-4.02453372714e-13
quaternion_xyzw,4,1,-1.55732823304e-15
rotation_moveit,1,1,2.08286166092e-11
rotation_moveit,1,2,-1
rotation_moveit,1,3,-5.66962943124e-13
rotation_moveit,2,1,-1
rotation_moveit,2,2,-2.08285610981e-11
rotation_moveit,2,3,5.71381682617e-13
rotation_moveit,3,1,-5.71347092718e-13
rotation_moveit,3,2,5.669768932e-13
rotation_moveit,3,3,-1
fk_moveit,1,1,2.08286166092e-11
fk_moveit,1,2,-1
fk_moveit,1,3,-5.66962943124e-13
fk_moveit,1,4,0.649999999831
fk_moveit,2,1,-1
fk_moveit,2,2,-2.08285610981e-11
fk_moveit,2,3,5.71381682617e-13
fk_moveit,2,4,-0.299999999792
fk_moveit,3,1,-5.71347092718e-13
fk_moveit,3,2,5.669768932e-13
fk_moveit,3,3,-1
fk_moveit,3,4,0.120000000122
fk_moveit,4,1,0
fk_moveit,4,2,0
fk_moveit,4,3,0
fk_moveit,4,4,1
fk_dh,1,1,2.25932439424e-10
fk_dh,1,2,-1
fk_dh,1,3,2.83715654013e-10
fk_dh,1,4,0.649999999852
fk_dh,2,1,-1
fk_dh,2,2,-2.25932439424e-10
fk_dh,2,3,5.81763361267e-11
fk_dh,2,4,-0.299999999791
fk_dh,3,1,-5.81762811073e-11
fk_dh,3,2,-2.83715680767e-10
fk_dh,3,3,-1
fk_dh,3,4,0.120000000144
fk_dh,4,1,0
fk_dh,4,2,0
fk_dh,4,3,0
fk_dh,4,4,1
fk_error,1,1,2.05103822815e-10
fk_error,1,2,0
fk_error,1,3,2.84282616956e-10
fk_error,1,4,2.13007389505e-11
fk_error,2,1,0
fk_error,2,2,-2.05103878326e-10
fk_error,2,3,5.76049544441e-11
fk_error,2,4,1.57990287519e-12
fk_error,3,1,-5.76049340146e-11
fk_error,3,2,-2.8428265766e-10
fk_error,3,3,0
fk_error,3,4,2.23870366689e-11
fk_error,4,1,0
fk_error,4,2,0
fk_error,4,3,0
fk_error,4,4,0
jacobian_moveit,1,1,0.299999999792
jacobian_moveit,1,2,0.025704471711
jacobian_moveit,1,3,-0.241040973275
jacobian_moveit,1,4,-0.0685930423258
jacobian_moveit,1,5,0.045478396465
jacobian_moveit,1,6,0
jacobian_moveit,2,1,0.649999999831
jacobian_moveit,2,2,-0.0170425181221
jacobian_moveit,2,3,0.159814415045
jacobian_moveit,2,4,0.0454783964241
jacobian_moveit,2,5,0.0685930423219
jacobian_moveit,2,6,0
jacobian_moveit,3,1,-0
jacobian_moveit,3,2,-0.707521220286
jacobian_moveit,3,3,-0.427890226349
jacobian_moveit,3,4,-0.0946499999999
jacobian_moveit,3,5,1.34201100455e-14
jacobian_moveit,3,6,-0
jacobian_moveit,4,1,0
jacobian_moveit,4,2,0.552592909489
jacobian_moveit,4,3,0.552592909489
jacobian_moveit,4,4,0.552592909489
jacobian_moveit,4,5,0.833451304033
jacobian_moveit,4,6,-5.66962943124e-13
jacobian_moveit,5,1,0
jacobian_moveit,5,2,0.833451304146
jacobian_moveit,5,3,0.833451304146
jacobian_moveit,5,4,0.833451304146
jacobian_moveit,5,5,-0.55259290966
jacobian_moveit,5,6,5.71159638012e-13
jacobian_moveit,6,1,1
jacobian_moveit,6,2,-2.05103489748e-10
jacobian_moveit,6,3,-2.05103489748e-10
jacobian_moveit,6,4,-2.05103489748e-10
jacobian_moveit,6,5,2.04315342465e-10
jacobian_moveit,6,6,-1
jacobian_dh,1,1,0.299999999791
jacobian_dh,1,2,0.0257044717912
jacobian_dh,1,3,-0.241040973227
jacobian_dh,1,4,-0.0685930423151
jacobian_dh,1,5,0.0454783964509
jacobian_dh,1,6,-2.01583807229e-17
jacobian_dh,2,1,0.649999999852
jacobian_dh,2,2,-0.0170425180011
jacobian_dh,2,3,0.159814415118
jacobian_dh,2,4,0.0454783964402
jacobian_dh,2,5,0.0685930423312
jacobian_dh,2,6,3.17605774111e-17
jacobian_dh,3,1,-0
jacobian_dh,3,2,-0.707521220303
jacobian_dh,3,3,-0.427890226366
jacobian_dh,3,4,-0.0946500000168
jacobian_dh,3,5,1.68933686484e-11
jacobian_dh,3,6,-3.87153414374e-27
jacobian_dh,4,1,0
jacobian_dh,4,2,0.552592909489
jacobian_dh,4,3,0.552592909489
jacobian_dh,4,4,0.552592909489
jacobian_dh,4,5,0.833451304146
jacobian_dh,4,6,2.83715654013e-10
jacobian_dh,5,1,0
jacobian_dh,5,2,0.833451304146
jacobian_dh,5,3,0.833451304146
jacobian_dh,5,4,0.833451304146
jacobian_dh,5,5,-0.552592909489
jacobian_dh,5,6,5.81763361267e-11
jacobian_dh,6,1,1
jacobian_dh,6,2,6.12323399574e-17
jacobian_dh,6,3,6.12323399574e-17
jacobian_dh,6,4,6.12323399574e-17
jacobian_dh,6,5,2.04315342422e-10
jacobian_dh,6,6,-1
jacobian_error,1,1,-1.57990287519e-12
jacobian_error,1,2,8.01895702618e-11
jacobian_error,1,3,4.84965123615e-11
jacobian_error,1,4,1.07275160977e-11
jacobian_error,1,5,-1.40686698402e-11
jacobian_error,1,6,-2.01583807229e-17
jacobian_error,2,1,2.13007389505e-11
jacobian_error,2,2,1.20946384852e-10
jacobian_error,2,3,7.31452121094e-11
jacobian_error,2,4,1.61798352494e-11
jacobian_error,2,5,9.32776078599e-12
jacobian_error,2,6,3.17605774111e-17
jacobian_error,3,1,0
jacobian_error,3,2,-1.6880052911e-11
jacobian_error,3,3,-1.68801084222e-11
jacobian_error,3,4,-1.6880052911e-11
jacobian_error,3,5,1.68799485384e-11
jacobian_error,3,6,-3.87153414374e-27
jacobian_error,4,1,0
jacobian_error,4,2,0
jacobian_error,4,3,0
jacobian_error,4,4,0
jacobian_error,4,5,1.13338671781e-10
jacobian_error,4,6,2.84282616956e-10
jacobian_error,5,1,0
jacobian_error,5,2,0
jacobian_error,5,3,0
jacobian_error,5,4,0
jacobian_error,5,5,1.70943814659e-10
jacobian_error,5,6,5.76051764887e-11
jacobian_error,6,1,0
jacobian_error,6,2,2.0510355098e-10
jacobian_error,6,3,2.0510355098e-10
jacobian_error,6,4,2.0510355098e-10
jacobian_error,6,5,-4.20674332741e-20
jacobian_error,6,6,0
qdot_rad_s,1,1,0.05
qdot_rad_s,2,1,0.05
qdot_rad_s,3,1,0.05
qdot_rad_s,4,1,0.05
qdot_rad_s,5,1,0.05
qdot_rad_s,6,1,0.05
xdot_moveit,1,1,0.00307744261836
xdot_moveit,2,1,0.045342166775
xdot_moveit,3,1,-0.0615030723317
xdot_moveit,4,1,0.124561501625
xdot_moveit,5,1,0.0973880501389
xdot_moveit,6,1,-2.05497494021e-11
xdot_dh,1,1,0.00307744262455
xdot_dh,2,1,0.045342166787
xdot_dh,3,1,-0.0615030723334
xdot_dh,4,1,0.124561501645
xdot_dh,5,1,0.0973880501504
xdot_dh,6,1,1.02157657333e-11
position_error_m,1,1,3.09418322623e-11
orientation_error_rad,1,1,0
fk_matrix_max_error,1,1,2.8428265766e-10
jacobian_max_error,1,1,2.84282616956e-10
jacobian_frobenius_error,1,1,5.32374957818e-10
