tramo,planeador,intento,valida,motivo,tiempo_planificacion_s,longitud_articular_rad,puntos,duracion_s,suavidad,movimiento_por_articulacion_rad
4A_home_pre_pick,RRTConnectkConfigDefault,1,si,"valida: limites, meta y colisiones comprobados",0.04390294,1.30011714,30,2.81572622,5.56326158,"0.585556;0.572254;0.792831;0.220574;0.000067;0.585422"
4A_home_pre_pick,RRTConnectkConfigDefault,2,si,"valida: limites, meta y colisiones comprobados",0.06008455,1.30012557,30,2.81570417,5.56349031,"0.585484;0.572324;0.792819;0.220642;0.000070;0.585436"
4A_home_pre_pick,RRTConnectkConfigDefault,3,si,"valida: limites, meta y colisiones comprobados",0.05553304,1.30021306,30,2.81575945,5.56371517,"0.585625;0.572338;0.792850;0.220669;0.000090;0.585423"
4A_home_pre_pick,RRTConnectkConfigDefault,4,si,"valida: limites, meta y colisiones comprobados",0.06942466,1.30013219,30,2.81566588,5.56378467,"0.585596;0.572226;0.792797;0.220725;0.000069;0.585433"
4A_home_pre_pick,RRTConnectkConfigDefault,5,si,"valida: limites, meta y colisiones comprobados",0.05239034,1.30001556,30,2.81562463,5.56342221,"0.585497;0.572220;0.792774;0.220695;0.000079;0.585322"
4A_home_pre_pick,RRTConnectkConfigDefault,6,si,"valida: limites, meta y colisiones comprobados",0.04293981,1.30012397,30,2.81557454,5.56413494,"0.585622;0.572179;0.792746;0.220752;0.000048;0.585493"
4A_home_pre_pick,RRTConnectkConfigDefault,7,si,"valida: limites, meta y colisiones comprobados",0.04914533,1.29999360,30,2.81551932,5.56379418,"0.585458;0.572210;0.792715;0.220746;0.000053;0.585382"
4A_home_pre_pick,RRTConnectkConfigDefault,8,si,"valida: limites, meta y colisiones comprobados",0.04399914,1.30006451,30,2.81566320,5.56336129,"0.585590;0.572262;0.792796;0.220596;0.000084;0.585304"
4A_home_pre_pick,RRTConnectkConfigDefault,9,si,"valida: limites, meta y colisiones comprobados",0.07057505,1.30011152,30,2.81566452,5.56354892,"0.585534;0.572234;0.792797;0.220605;0.000070;0.585487"
4A_home_pre_pick,RRTConnectkConfigDefault,10,si,"valida: limites, meta y colisiones comprobados",0.03762913,1.30001047,30,2.81546700,5.56405652,"0.585466;0.572248;0.792685;0.220709;0.000054;0.585428"
4A_home_pre_pick,RRTstarkConfigDefault,1,si,"valida: limites, meta y colisiones comprobados",8.01793916,1.30000471,30,2.81544709,5.56400041,"0.585551;0.572297;0.792674;0.220656;0.000029;0.585318"
4A_home_pre_pick,RRTstarkConfigDefault,2,si,"valida: limites, meta y colisiones comprobados",8.01947881,1.30002037,30,2.81554927,5.56356718,"0.585503;0.572217;0.792732;0.220576;0.000052;0.585431"
4A_home_pre_pick,RRTstarkConfigDefault,3,si,"valida: limites, meta y colisiones comprobados",8.00932940,1.30002352,30,2.81563819,5.56316386,"0.585511;0.572221;0.792782;0.220627;0.000005;0.585339"
4A_home_pre_pick,RRTstarkConfigDefault,4,si,"valida: limites, meta y colisiones comprobados",8.07912571,1.29999154,30,2.81543750,5.56412185,"0.585523;0.572241;0.792669;0.220738;0.000048;0.585348"
4A_home_pre_pick,RRTstarkConfigDefault,5,si,"valida: limites, meta y colisiones comprobados",8.01893493,1.30008174,30,2.81574323,5.56289442,"0.585531;0.572265;0.792841;0.220568;0.000004;0.585348"
4A_home_pre_pick,RRTstarkConfigDefault,6,si,"valida: limites, meta y colisiones comprobados",8.01238686,1.29993784,30,2.81548104,5.56369945,"0.585496;0.572171;0.792693;0.220710;0.000070;0.585302"
4A_home_pre_pick,RRTstarkConfigDefault,7,si,"valida: limites, meta y colisiones comprobados",8.01933634,1.29998545,30,2.81551779,5.56353303,"0.585579;0.572212;0.792714;0.220590;0.000035;0.585301"
4A_home_pre_pick,RRTstarkConfigDefault,8,si,"valida: limites, meta y colisiones comprobados",8.02246705,1.30000035,30,2.81558913,5.56336159,"0.585557;0.572167;0.792754;0.220595;0.000069;0.585344"
4A_home_pre_pick,RRTstarkConfigDefault,9,si,"valida: limites, meta y colisiones comprobados",8.01410642,1.29999181,30,2.81561704,5.56310544,"0.585515;0.572219;0.792770;0.220585;0.000026;0.585299"
4A_home_pre_pick,RRTstarkConfigDefault,10,si,"valida: limites, meta y colisiones comprobados",8.01290053,1.29997180,30,2.81554464,5.56339706,"0.585548;0.572198;0.792729;0.220587;0.000058;0.585295"
