tramo,planeador,intento,valida,motivo,tiempo_planificacion_s,longitud_articular_rad,puntos,duracion_s,suavidad,movimiento_por_articulacion_rad
4C_pick_pre_place,RRTConnectkConfigDefault,1,si,"valida: limites, meta y colisiones comprobados",0.07175671,2.35906842,57,5.56007785,12.58903893,"0.864844;1.016627;0.630435;0.776275;0.763887;1.039023"
4C_pick_pre_place,RRTConnectkConfigDefault,2,si,"valida: limites, meta y colisiones comprobados",0.06721670,3.07229999,65,6.36916377,12.54205991,"1.640104;1.141450;0.976724;0.776232;0.242629;1.479842"
4C_pick_pre_place,RRTConnectkConfigDefault,3,si,"valida: limites, meta y colisiones comprobados",0.04602565,3.88726085,76,7.40875262,12.18793826,"2.153453;0.443093;1.666289;0.776234;1.443667;1.803486"
4C_pick_pre_place,RRTConnectkConfigDefault,4,si,"valida: limites, meta y colisiones comprobados",0.06826420,5.99532212,111,10.91753546,9.33265392,"1.988545;1.797236;1.567032;4.826289;0.164859;0.943964"
4C_pick_pre_place,RRTConnectkConfigDefault,5,si,"valida: limites, meta y colisiones comprobados",0.07178662,3.43560991,72,7.09287835,10.92896023,"0.864864;1.374963;0.657540;0.776176;2.481564;0.864815"
4C_pick_pre_place,RRTConnectkConfigDefault,6,no,"OMPL no encontro solucion",0.06321336,0.00000000,0,0.00000000,0.00000000,""
4C_pick_pre_place,RRTConnectkConfigDefault,7,si,"valida: limites, meta y colisiones comprobados",0.05909503,2.97596960,63,6.18645734,13.23878891,"1.429998;1.326009;0.909434;1.041083;0.411440;0.864781"
4C_pick_pre_place,RRTConnectkConfigDefault,8,si,"valida: limites, meta y colisiones comprobados",0.09661064,9.33065713,149,14.71300655,9.68119667,"1.854220;1.015996;4.108217;0.776176;7.233579;3.284757"
4C_pick_pre_place,RRTConnectkConfigDefault,9,si,"valida: limites, meta y colisiones comprobados",0.07316945,3.96048075,77,7.52650610,11.88244784,"0.960392;1.986176;1.068156;1.593956;0.360652;2.410160"
4C_pick_pre_place,RRTConnectkConfigDefault,10,si,"valida: limites, meta y colisiones comprobados",0.10753496,6.81808043,114,11.20749450,11.05475241,"3.832102;0.870361;1.576371;0.904741;5.024095;0.864726"
4C_pick_pre_place,RRTstarkConfigDefault,1,no,"OMPL no encontro solucion",8.01216251,0.00000000,0,0.00000000,0.00000000,""
4C_pick_pre_place,RRTstarkConfigDefault,2,no,"OMPL no encontro solucion",8.00560294,0.00000000,0,0.00000000,0.00000000,""
4C_pick_pre_place,RRTstarkConfigDefault,3,no,"OMPL no encontro solucion",8.01074041,0.00000000,0,0.00000000,0.00000000,""
4C_pick_pre_place,RRTstarkConfigDefault,4,no,"OMPL no encontro solucion",8.02252137,0.00000000,0,0.00000000,0.00000000,""
4C_pick_pre_place,RRTstarkConfigDefault,5,no,"OMPL no encontro solucion",8.02395352,0.00000000,0,0.00000000,0.00000000,""
4C_pick_pre_place,RRTstarkConfigDefault,6,no,"OMPL no encontro solucion",8.01353035,0.00000000,0,0.00000000,0.00000000,""
4C_pick_pre_place,RRTstarkConfigDefault,7,no,"OMPL no encontro solucion",8.02192029,0.00000000,0,0.00000000,0.00000000,""
4C_pick_pre_place,RRTstarkConfigDefault,8,no,"OMPL no encontro solucion",8.02445314,0.00000000,0,0.00000000,0.00000000,""
4C_pick_pre_place,RRTstarkConfigDefault,9,no,"OMPL no encontro solucion",8.01366418,0.00000000,0,0.00000000,0.00000000,""
4C_pick_pre_place,RRTstarkConfigDefault,10,no,"OMPL no encontro solucion",8.05608650,0.00000000,0,0.00000000,0.00000000,""
