tramo,planeador,intento,valida,motivo,tiempo_planificacion_s,longitud_articular_rad,puntos,duracion_s,suavidad,movimiento_por_articulacion_rad
4A_home_pre_pick,RRTConnectkConfigDefault,1,si,"valida: limites, meta y colisiones comprobados",0.04770368,1.30014094,30,2.81569594,5.56349507,"0.585516;0.572311;0.792814;0.220597;0.000049;0.585475"
4A_home_pre_pick,RRTConnectkConfigDefault,2,si,"valida: limites, meta y colisiones comprobados",0.03604588,1.30009593,30,2.81561945,5.56390618,"0.585473;0.572349;0.792771;0.220721;0.000110;0.585392"
4A_home_pre_pick,RRTConnectkConfigDefault,3,si,"valida: limites, meta y colisiones comprobados",0.03547413,1.30004504,30,2.81561868,5.56349803,"0.585484;0.572230;0.792771;0.220609;0.000091;0.585427"
4A_home_pre_pick,RRTConnectkConfigDefault,4,si,"valida: limites, meta y colisiones comprobados",0.05462478,1.30009538,30,2.81564900,5.56361380,"0.585410;0.572344;0.792788;0.220769;0.000000;0.585418"
4A_home_pre_pick,RRTConnectkConfigDefault,5,si,"valida: limites, meta y colisiones comprobados",0.05790124,1.30018329,30,2.81558358,5.56444113,"0.585568;0.572371;0.792751;0.220682;0.000127;0.585511"
4A_home_pre_pick,RRTConnectkConfigDefault,6,si,"valida: limites, meta y colisiones comprobados",0.05054705,1.30011244,30,2.81560481,5.56395003,"0.585560;0.572207;0.792763;0.220775;0.000033;0.585472"
4A_home_pre_pick,RRTConnectkConfigDefault,7,si,"valida: limites, meta y colisiones comprobados",0.05754128,1.30007847,30,2.81558969,5.56377893,"0.585566;0.572269;0.792754;0.220602;0.000097;0.585405"
4A_home_pre_pick,RRTConnectkConfigDefault,8,si,"valida: limites, meta y colisiones comprobados",0.07174923,1.30008246,30,2.81540892,5.56475666,"0.585468;0.572376;0.792653;0.220793;0.000061;0.585474"
4A_home_pre_pick,RRTConnectkConfigDefault,9,si,"valida: limites, meta y colisiones comprobados",0.06112243,1.30000229,30,2.81538811,5.56422544,"0.585492;0.572283;0.792641;0.220622;0.000040;0.585443"
4A_home_pre_pick,RRTConnectkConfigDefault,10,si,"valida: limites, meta y colisiones comprobados",0.03532174,1.30005410,30,2.81551043,5.56399224,"0.585433;0.572315;0.792710;0.220600;0.000086;0.585500"
4A_home_pre_pick,RRTstarkConfigDefault,1,si,"valida: limites, meta y colisiones comprobados",8.02265703,1.30000477,30,2.81538619,5.56419318,"0.585484;0.572360;0.792640;0.220641;0.000001;0.585376"
4A_home_pre_pick,RRTstarkConfigDefault,2,si,"valida: limites, meta y colisiones comprobados",8.01381876,1.29994689,30,2.81538180,5.56403193,"0.585408;0.572265;0.792637;0.220673;0.000022;0.585407"
4A_home_pre_pick,RRTstarkConfigDefault,3,si,"valida: limites, meta y colisiones comprobados",8.02202890,1.29992897,30,2.81534563,5.56409352,"0.585499;0.572200;0.792617;0.220619;0.000049;0.585387"
4A_home_pre_pick,RRTstarkConfigDefault,4,si,"valida: limites, meta y colisiones comprobados",8.01745860,1.30002974,30,2.81541533,5.56426853,"0.585562;0.572227;0.792656;0.220637;0.000051;0.585462"
4A_home_pre_pick,RRTstarkConfigDefault,5,si,"valida: limites, meta y colisiones comprobados",8.02208847,1.30000026,30,2.81537141,5.56425952,"0.585412;0.572365;0.792632;0.220647;0.000007;0.585441"
4A_home_pre_pick,RRTstarkConfigDefault,6,si,"valida: limites, meta y colisiones comprobados",8.01469373,1.29992513,30,2.81538091,5.56391329,"0.585499;0.572210;0.792637;0.220618;0.000045;0.585342"
4A_home_pre_pick,RRTstarkConfigDefault,7,si,"valida: limites, meta y colisiones comprobados",8.05274110,1.29996937,30,2.81550393,5.56371654,"0.585456;0.572195;0.792706;0.220789;0.000009;0.585341"
4A_home_pre_pick,RRTstarkConfigDefault,8,si,"valida: limites, meta y colisiones comprobados",8.01809562,1.29998971,30,2.81543457,5.56412734,"0.585432;0.572265;0.792667;0.220772;0.000026;0.585401"
4A_home_pre_pick,RRTstarkConfigDefault,9,si,"valida: limites, meta y colisiones comprobados",8.01031019,1.29998980,30,2.81562668,5.56317334,"0.585427;0.572219;0.792775;0.220667;0.000034;0.585343"
4A_home_pre_pick,RRTstarkConfigDefault,10,si,"valida: limites, meta y colisiones comprobados",8.01317136,1.29997131,30,2.81554219,5.56339924,"0.585420;0.572192;0.792728;0.220602;0.000046;0.585426"
