tramo,planeador,intento,valida,motivo,tiempo_planificacion_s,longitud_articular_rad,puntos,duracion_s,suavidad,movimiento_por_articulacion_rad
4C_pick_pre_place,RRTConnectkConfigDefault,1,si,"valida: limites, meta y colisiones comprobados",0.04424262,2.82315797,66,6.45186806,11.08958062,"1.814029;0.445433;0.965188;0.776190;0.498148;0.864790"
4C_pick_pre_place,RRTConnectkConfigDefault,2,si,"valida: limites, meta y colisiones comprobados",0.07201468,5.14113244,89,8.75047896,12.62613068,"2.085087;1.159011;1.586478;3.220701;2.266644;0.864739"
4C_pick_pre_place,RRTConnectkConfigDefault,3,si,"valida: limites, meta y colisiones comprobados",0.08463176,5.85795097,98,9.67534623,11.48806883,"0.864769;0.145845;2.229526;0.776292;3.939073;3.326442"
4C_pick_pre_place,RRTConnectkConfigDefault,4,si,"valida: limites, meta y colisiones comprobados",0.07540724,5.80211213,87,8.52667391,14.56617846,"1.974761;2.487762;0.630357;3.004223;2.485455;2.473741"
4C_pick_pre_place,RRTConnectkConfigDefault,5,si,"valida: limites, meta y colisiones comprobados",0.06142457,4.61204484,79,7.72780139,14.15301181,"1.132833;2.575122;1.424356;0.815064;2.839902;0.864756"
4C_pick_pre_place,RRTConnectkConfigDefault,6,si,"valida: limites, meta y colisiones comprobados",0.08286090,4.30932219,78,7.68235248,13.90930581,"2.242378;0.634159;1.485272;0.776261;2.504901;1.372396"
4C_pick_pre_place,RRTConnectkConfigDefault,7,si,"valida: limites, meta y colisiones comprobados",0.07187226,2.76402056,67,6.51918655,10.41358438,"1.282302;0.299318;1.589814;0.776313;0.750446;0.864723"
4C_pick_pre_place,RRTConnectkConfigDefault,8,si,"valida: limites, meta y colisiones comprobados",0.10944904,10.48145752,141,13.91837703,11.72051042,"0.864771;5.030194;2.143308;0.776299;5.664118;6.710027"
4C_pick_pre_place,RRTConnectkConfigDefault,9,si,"valida: limites, meta y colisiones comprobados",0.07419471,4.49203687,86,8.49289554,11.18880124,"2.538238;1.358861;0.630413;0.776202;1.859456;2.393001"
4C_pick_pre_place,RRTConnectkConfigDefault,10,si,"valida: limites, meta y colisiones comprobados",0.07328714,6.29666517,93,9.11336892,15.40805674,"2.504510;1.186827;2.275036;2.018756;3.659304;2.661419"
4C_pick_pre_place,RRTstarkConfigDefault,1,no,"OMPL no encontro solucion",8.01275779,0.00000000,0,0.00000000,0.00000000,""
4C_pick_pre_place,RRTstarkConfigDefault,2,no,"OMPL no encontro solucion",8.01490385,0.00000000,0,0.00000000,0.00000000,""
4C_pick_pre_place,RRTstarkConfigDefault,3,no,"OMPL no encontro solucion",8.03519428,0.00000000,0,0.00000000,0.00000000,""
4C_pick_pre_place,RRTstarkConfigDefault,4,no,"OMPL no encontro solucion",8.01464924,0.00000000,0,0.00000000,0.00000000,""
4C_pick_pre_place,RRTstarkConfigDefault,5,no,"OMPL no encontro solucion",8.01247187,0.00000000,0,0.00000000,0.00000000,""
4C_pick_pre_place,RRTstarkConfigDefault,6,no,"OMPL no encontro solucion",8.00795250,0.00000000,0,0.00000000,0.00000000,""
4C_pick_pre_place,RRTstarkConfigDefault,7,no,"OMPL no encontro solucion",8.00976582,0.00000000,0,0.00000000,0.00000000,""
4C_pick_pre_place,RRTstarkConfigDefault,8,no,"OMPL no encontro solucion",8.01089696,0.00000000,0,0.00000000,0.00000000,""
4C_pick_pre_place,RRTstarkConfigDefault,9,no,"OMPL no encontro solucion",8.03010250,0.00000000,0,0.00000000,0.00000000,""
4C_pick_pre_place,RRTstarkConfigDefault,10,no,"OMPL no encontro solucion",8.02115458,0.00000000,0,0.00000000,0.00000000,""
