tramo,planeador,intento,valida,motivo,tiempo_planificacion_s,longitud_articular_rad,puntos,duracion_s,suavidad,movimiento_por_articulacion_rad
pick_a_place_directo,RRTConnectkConfigDefault,1,si,"valida: limites, meta y colisiones comprobados",0.05461053,2.68450171,70,6.82663291,16.06808812,"0.883114;0.746660;1.055088;0.172814;0.145397;1.997900"
pick_a_place_directo,RRTConnectkConfigDefault,2,si,"valida: limites, meta y colisiones comprobados",0.09374728,6.55239622,133,13.15083757,14.39394380,"1.339922;0.512933;1.646013;1.470368;4.738454;1.990935"
pick_a_place_directo,RRTConnectkConfigDefault,3,no,"OMPL no encontro solucion",0.17849489,0.00000000,0,0.00000000,0.00000000,""
pick_a_place_directo,RRTConnectkConfigDefault,4,si,"valida: limites, meta y colisiones comprobados",0.13408944,9.72110591,153,15.12404163,18.85944463,"0.864932;1.800978;5.380086;1.107007;2.658415;7.003856"
pick_a_place_directo,RRTConnectkConfigDefault,5,no,"OMPL no encontro solucion",0.06235318,0.00000000,0,0.00000000,0.00000000,""
pick_a_place_directo,RRTConnectkConfigDefault,6,si,"valida: limites, meta y colisiones comprobados",0.04828859,5.88048218,93,9.14443425,14.99863132,"2.319584;2.996675;2.422173;0.845853;0.619258;3.532449"
pick_a_place_directo,RRTConnectkConfigDefault,7,si,"valida: limites, meta y colisiones comprobados",0.07014440,4.77208177,74,7.25891793,15.60886207,"1.007959;2.477327;1.668762;1.877294;2.506849;1.294438"
pick_a_place_directo,RRTConnectkConfigDefault,8,si,"valida: limites, meta y colisiones comprobados",0.06103074,5.11098541,101,9.97240994,8.68395231,"0.864835;4.242546;0.047597;1.393838;1.643925;1.171742"
pick_a_place_directo,RRTConnectkConfigDefault,9,si,"valida: limites, meta y colisiones comprobados",0.05844263,3.35398231,74,7.26165301,10.08418543,"0.864864;1.953948;0.687353;0.367592;0.573124;2.277439"
pick_a_place_directo,RRTConnectkConfigDefault,10,no,"OMPL no encontro solucion",0.31885621,0.00000000,0,0.00000000,0.00000000,""
pick_a_place_directo,RRTstarkConfigDefault,1,no,"OMPL no encontro solucion",8.01192568,0.00000000,0,0.00000000,0.00000000,""
pick_a_place_directo,RRTstarkConfigDefault,2,no,"OMPL no encontro solucion",8.00667369,0.00000000,0,0.00000000,0.00000000,""
pick_a_place_directo,RRTstarkConfigDefault,3,no,"OMPL no encontro solucion",8.00712626,0.00000000,0,0.00000000,0.00000000,""
pick_a_place_directo,RRTstarkConfigDefault,4,no,"OMPL no encontro solucion",8.01111256,0.00000000,0,0.00000000,0.00000000,""
pick_a_place_directo,RRTstarkConfigDefault,5,no,"OMPL no encontro solucion",8.02275835,0.00000000,0,0.00000000,0.00000000,""
pick_a_place_directo,RRTstarkConfigDefault,6,no,"OMPL no encontro solucion",8.00866037,0.00000000,0,0.00000000,0.00000000,""
pick_a_place_directo,RRTstarkConfigDefault,7,no,"OMPL no encontro solucion",8.00943160,0.00000000,0,0.00000000,0.00000000,""
pick_a_place_directo,RRTstarkConfigDefault,8,no,"OMPL no encontro solucion",8.00976025,0.00000000,0,0.00000000,0.00000000,""
pick_a_place_directo,RRTstarkConfigDefault,9,no,"OMPL no encontro solucion",8.02103609,0.00000000,0,0.00000000,0.00000000,""
pick_a_place_directo,RRTstarkConfigDefault,10,no,"OMPL no encontro solucion",8.00765374,0.00000000,0,0.00000000,0.00000000,""
